Well,Zone,Layer,Row,Column,A Spring 2015,A Spring 2016,A Fall 2016,S Spring 2015,S Spring 2016,S Fall 2016
Bell Gardens 1,6,3,94,193,190,230,190,,,
Bell Gardens 1,5,4,94,193,220,230,180,,,
Bell Gardens 1,4,5,94,193,840,750,660,160,,
Bell Gardens 1,3,6,94,193,560,660,540,,,
Cerritos 2,2,4,139,213,,100,,,,
Downey 1,4,3,115,198,380,560,600,,,
Lakewood 2,2,6,159,218,,,74,,,
Montebello 1,5,4,67,206,350,640,590,,140,170
Montebello 1,4,7,67,206,120,,60,,,
Norwalk 2,6,3,111,214,1200,970,1200,170,160,160
Norwalk 2,5,4,111,214,120,58,100,,,
Norwalk 2,1,9,111,214,450,79,160,120,,
Pico 1,4,4,71,227,6900,3000,590,820,1100,1200
Pico 1,3,10,71,227,1800,1100,1700,250,140,140
Pico 1,2,11,71,227,20,28,140,,,
Pico 2,6,12,71,227,230,150,180,4400,5900,13000
Pico 2,5,2,88,222,520,220,210,3500,2600,1600
Pico 2,4,4,88,222,29,76,82,2600,2300,1800
Pico 2,3,7,88,222,300,69,80,,,
Pico 2,2,8,88,222,660,640,270,,,
Rio Hondo 1,6,2,86,209,1400,150,85,210,330,260
Rio Hondo 1,5,4,86,209,970,950,46,190,140,120
Rio Hondo 1,4,7,86,209,1300,690,53,300,290,260
Rio Hondo 1,3,8,86,209,520,350,500,,,
South Gate 1,4,4,102,180,,,410,,300,
South Gate 1,3,5,102,180,,,23,,,
South Gate 2,2,5,96,155,,25,,,,
Whittier 2,6,2,84,234,410,680,850,,,
Whittier 2,5,4,84,234,29,53,50,,,
Whittier 2,1,11,84,234,71,150,210,,,
