LAYER,ROW,COLUMN,CONDUCTANCE,SITE
1,88,222,3.84E+05,qsgrsg
1,76,227,3.84E+05,qsgrsg
1,95,221,3.84E+05,qsgrsg
1,78,227,3.84E+05,qsgrsg
1,98,220,3.84E+05,qsgrsg
1,91,221,3.84E+05,qsgrsg
1,77,227,3.84E+05,qsgrsg
1,81,225,3.84E+05,qsgrsg
1,80,226,3.84E+05,qsgrsg
1,79,226,3.84E+05,qsgrsg
1,101,217,3.84E+05,qsgrsg
1,75,228,3.84E+05,qsgrsg
1,82,225,3.84E+05,qsgrsg
1,83,224,3.84E+05,qsgrsg
1,84,224,3.84E+05,qsgrsg
1,74,216,2.35E+05,qrhsg
2,74,214,2.35E+05,qrhsg
1,74,215,2.35E+05,qrhsg
2,74,213,2.35E+05,qrhsg
1,73,218,2.35E+05,qrhsg
1,73,219,2.35E+05,qrhsg
1,73,217,2.35E+05,qrhsg
2,81,210,2.35E+05,qrhsg
1,72,216,2.35E+05,qrhsg
1,85,208,2.35E+05,qrhsg
1,75,217,2.35E+05,qrhsg
2,72,215,2.35E+05,qrhsg
1,83,209,2.35E+05,qrhsg
2,73,214,2.35E+05,qrhsg
1,73,215,2.35E+05,qrhsg
2,76,212,2.35E+05,qrhsg
1,75,214,2.35E+05,qrhsg
1,75,215,2.35E+05,qrhsg
1,75,213,2.35E+05,qrhsg
1,72,217,2.35E+05,qrhsg
1,75,216,2.35E+05,qrhsg
1,76,215,2.35E+05,qrhsg
1,77,213,2.35E+05,qrhsg
1,77,214,2.35E+05,qrhsg
1,84,209,2.35E+05,qrhsg
1,73,216,2.35E+05,qrhsg
2,80,210,2.35E+05,qrhsg
2,79,210,2.35E+05,qrhsg
2,79,211,2.35E+05,qrhsg
1,79,212,2.35E+05,qrhsg
2,82,210,2.35E+05,qrhsg
2,78,211,2.35E+05,qrhsg
1,78,212,2.35E+05,qrhsg
1,77,212,2.35E+05,qrhsg
1,72,218,2.35E+05,qrhsg
1,76,216,2.35E+05,qrhsg
1,76,214,2.35E+05,qrhsg
1,76,213,2.35E+05,qrhsg
1,74,218,2.35E+05,qrhsg
1,74,217,2.35E+05,qrhsg
1,60,226,75849.85626,qwnd
1,60,227,75849.85626,qwnd
1,60,224,75849.85626,qwnd
1,60,225,75849.85626,qwnd
4,60,223,75849.85626,qwnd
1,61,225,75849.85626,qwnd
1,61,224,75849.85626,qwnd
1,61,226,75849.85626,qwnd
2,60,232,43769.76,ghbwht_mes
2,64,234,43769.76,ghbwht_mes
2,63,233,43769.76,ghbwht_mes
2,62,233,43769.76,ghbwht_mes
2,61,232,43769.76,ghbwht_mes
2,59,231,43769.76,ghbwht_mes
2,58,230,43769.76,ghbwht_mes
2,57,230,43769.76,ghbwht_mes
2,65,234,43769.76,ghbwht_mes
2,66,235,43769.76,ghbwht_mes
12,66,235,39729.5,ghbwht_lbc
12,65,234,39729.5,ghbwht_lbc
12,64,234,39729.5,ghbwht_lbc
12,63,233,39729.5,ghbwht_lbc
12,62,233,39729.5,ghbwht_lbc
12,61,232,39729.5,ghbwht_lbc
12,60,232,39729.5,ghbwht_lbc
12,59,231,39729.5,ghbwht_lbc
12,58,230,39729.5,ghbwht_lbc
12,57,230,39729.5,ghbwht_lbc
12,56,229,39729.5,ghbwht_lbc
