LAYER,ROW,COLUMN,SITE
1,88,222,qsgrsg
1,76,227,qsgrsg
1,95,221,qsgrsg
1,78,227,qsgrsg
1,98,220,qsgrsg
1,91,221,qsgrsg
1,77,227,qsgrsg
1,81,225,qsgrsg
1,80,226,qsgrsg
1,79,226,qsgrsg
1,101,217,qsgrsg
1,75,228,qsgrsg
1,82,225,qsgrsg
1,83,224,qsgrsg
1,84,224,qsgrsg
1,74,216,qrhsg
2,74,214,qrhsg
1,74,215,qrhsg
2,74,213,qrhsg
1,73,218,qrhsg
1,73,219,qrhsg
1,73,217,qrhsg
2,81,210,qrhsg
1,72,216,qrhsg
1,85,208,qrhsg
1,75,217,qrhsg
2,72,215,qrhsg
1,83,209,qrhsg
2,73,214,qrhsg
1,73,215,qrhsg
2,76,212,qrhsg
1,75,214,qrhsg
1,75,215,qrhsg
1,75,213,qrhsg
1,72,217,qrhsg
1,75,216,qrhsg
1,76,215,qrhsg
1,77,213,qrhsg
1,77,214,qrhsg
1,84,209,qrhsg
1,73,216,qrhsg
2,80,210,qrhsg
2,79,210,qrhsg
2,79,211,qrhsg
1,79,212,qrhsg
2,82,210,qrhsg
2,78,211,qrhsg
1,78,212,qrhsg
1,77,212,qrhsg
1,72,218,qrhsg
1,76,216,qrhsg
1,76,214,qrhsg
1,76,213,qrhsg
1,74,218,qrhsg
1,74,217,qrhsg
1,60,226,qwnd
1,60,227,qwnd
1,60,224,qwnd
1,60,225,qwnd
4,60,223,qwnd
1,61,225,qwnd
1,61,224,qwnd
1,61,226,qwnd
1,60,232,ghbwht_dom
1,64,234,ghbwht_dom
1,63,233,ghbwht_dom
1,62,233,ghbwht_dom
1,61,232,ghbwht_dom
1,59,231,ghbwht_dom
1,58,230,ghbwht_dom
1,57,230,ghbwht_dom
1,65,234,ghbwht_dom
12,66,235,ghbwht_lbc
12,65,234,ghbwht_lbc
12,64,234,ghbwht_lbc
12,63,233,ghbwht_lbc
12,62,233,ghbwht_lbc
12,61,232,ghbwht_lbc
12,60,232,ghbwht_lbc
12,59,231,ghbwht_lbc
12,58,230,ghbwht_lbc
12,57,230,ghbwht_lbc
12,56,229,ghbwht_lbc
